DATE,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2020-10-01,308.149994,353.299988,2089.75,2040.449951,443.700012,2985.399902,3442.800049,605.359985,353.299988,432.350006,3808.600098,773.0,117.25,3064.899902,5112.049805,2197.649902,754.549988,812.950012,1106.949951,569.200012,3151.449951,174.100006,2095.0,1790.650024,369.200012,170.850006,592.200012,1017.650024,282.049988,1305.050049,902.799988,610.150024,6796.299805,84.900002,16000.5,69.150002,123.450027,2225.25,818.900024,190.300003,506.899994,2523.449951,509.100006,133.5,36.494999,822.5,1198.650024,505.649994,4097.75,313.049988
2020-10-05,326.600006,350.350006,2126.75,2028.0,444.149994,2952.300049,3382.899902,588.11499,354.149994,424.450012,3830.449951,778.650024,118.400002,3126.199951,5159.5,2210.149902,750.150024,824.200012,1114.349976,574.75,3129.199951,179.050003,2111.050049,1785.099976,373.100006,169.25,601.549988,1048.699951,290.100006,1314.599976,896.950012,607.0,6818.850098,84.449997,16033.150391,69.199997,122.137527,2212.199951,824.950012,188.75,523.099976,2705.800049,503.549988,133.899994,38.23,841.25,1194.349976,507.100006,4047.149902,333.950012
2020-10-06,327.149994,362.899994,2125.800049,2090.0,449.649994,2972.25,3474.300049,599.539978,352.049988,426.75,3765.850098,780.349976,116.800003,3162.600098,5136.5,2197.600098,757.700012,829.150024,1144.099976,582.049988,3136.350098,176.899994,2115.899902,1934.400024,380.600006,169.899994,622.799988,1055.75,291.350006,1338.25,892.599976,627.400024,6892.399902,84.150002,15876.849609,69.349998,122.400032,2210.350098,830.049988,191.600006,521.049988,2714.300049,505.600006,144.75,37.740002,847.400024,1199.949951,509.549988,4136.100098,330.049988
2020-10-07,330.100006,360.649994,2173.100098,2105.0,453.100006,3077.399902,3331.149902,590.525024,342.25,422.450012,3785.949951,773.599976,114.449997,3181.899902,5104.950195,2238.0,759.650024,828.049988,1162.25,578.950012,3233.649902,172.850006,2139.350098,1948.75,382.649994,169.5,619.099976,1066.550049,291.450012,1324.699951,887.900024,631.599976,7046.899902,82.800003,16114.400391,70.5,119.700027,2257.5,827.950012,190.699997,511.75,2735.949951,505.049988,141.0,37.110001,846.349976,1254.0,510.850006,4213.350098,335.299988
2020-10-08,316.25,359.75,2248.649902,2088.649902,451.899994,3074.550049,3326.449951,587.195007,340.049988,424.450012,3794.699951,811.450012,113.300003,3231.449951,5194.399902,2208.800049,770.349976,849.549988,1191.800049,583.150024,3279.149902,174.25,2160.800049,1949.25,387.5,167.149994,617.700012,1093.699951,292.950012,1320.099976,881.049988,634.150024,7079.850098,82.599998,16304.599609,68.449997,118.725029,2239.25,821.049988,191.5,524.099976,2825.699951,488.25,140.949997,37.365002,860.299988,1254.150024,509.399994,4346.0,359.450012
2020-10-09,313.0,357.200012,2277.100098,2050.600098,468.049988,3059.800049,3317.899902,591.52002,345.0,425.200012,3745.100098,803.150024,114.900002,3190.0,5153.0,2217.949951,745.099976,855.75,1233.550049,573.799988,3327.399902,170.0,2139.649902,1957.650024,401.5,167.850006,623.049988,1106.800049,292.0,1319.849976,908.450012,633.200012,7062.399902,82.900002,16034.099609,70.300003,118.500031,2233.449951,805.900024,198.300003,512.900024,2812.949951,471.25,138.449997,36.950001,854.150024,1255.199951,497.299988,4298.350098,374.0
2020-10-12,315.350006,357.649994,2273.649902,2077.850098,468.0,3022.75,3327.199951,591.275024,341.600006,415.049988,3731.5,813.650024,113.199997,3207.25,5220.5,2181.350098,744.700012,865.799988,1213.650024,563.400024,3284.699951,172.149994,2138.399902,1965.400024,404.049988,172.199997,614.450012,1132.099976,285.149994,1312.900024,905.75,634.400024,7136.649902,82.75,15902.200195,69.150002,119.850029,2237.050049,791.650024,198.699997,513.900024,2830.0,474.700012,135.899994,37.110001,856.900024,1256.75,507.100006,4306.299805,377.5
2020-10-13,313.200012,349.899994,2254.449951,2064.649902,461.350006,3034.449951,3272.600098,586.765015,339.100006,415.299988,3745.649902,787.150024,113.849998,3139.149902,5168.75,2219.550049,749.450012,900.400024,1198.449951,566.700012,3288.050049,173.25,2138.199951,1943.400024,396.25,170.149994,608.200012,1157.800049,289.950012,1344.949951,896.450012,627.900024,7032.899902,82.650002,15673.0,69.099998,120.337532,2280.699951,786.549988,195.699997,503.149994,2826.550049,468.950012,134.100006,36.834999,868.200012,1228.849976,506.5,4382.75,375.950012
2020-10-14,313.399994,348.950012,2227.699951,2071.350098,471.299988,3054.149902,3372.050049,610.005005,332.899994,413.25,3789.800049,781.5,110.550003,3130.449951,5123.0,2253.899902,763.599976,890.450012,1211.5,572.349976,3310.800049,174.199997,2158.149902,1979.849976,406.799988,167.800003,622.650024,1137.0,290.649994,1353.349976,915.200012,623.849976,7002.350098,79.099998,15673.049805,67.0,117.787529,2287.5,810.599976,200.050003,502.200012,2809.600098,489.799988,130.699997,37.555,848.849976,1223.449951,510.899994,4442.850098,350.450012
2020-10-15,307.100006,342.799988,2182.600098,2090.449951,462.600006,3027.399902,3214.75,589.905029,326.649994,399.200012,3731.0,768.299988,110.599998,3111.399902,5056.25,2248.600098,750.099976,860.0,1169.25,561.5,3314.300049,173.649994,2152.550049,1947.199951,391.0,165.050003,598.0,1108.25,291.549988,1309.550049,888.799988,617.299988,6892.600098,79.0,15602.75,66.050003,116.812531,2206.5,804.75,192.850006,490.299988,2740.600098,474.100006,126.949997,37.389999,812.400024,1213.599976,506.549988,4383.299805,341.600006
